"method","years","steps","dt_days","final_position_error_au","observed_order"
"Euler",1,250,1.461,1.20693849786601,NA
"Euler",1,500,0.7305,0.676415510760664,0.835370514936181
"Euler",1,1000,0.36525,0.358832441016794,0.914599416209704
"Euler",1,2000,0.182625,0.18482669343889,0.957137194281553
"Midpoint",1,250,1.461,0.00237404538588137,NA
"Midpoint",1,500,0.7305,0.000587088954174118,2.01569649763979
"Midpoint",1,1000,0.36525,0.000145909852590778,2.00850180845087
"Midpoint",1,2000,0.182625,3.63660344409542e-05,2.00441378498668
"Heun",1,250,1.461,0.00551744149999175,NA
"Heun",1,500,0.7305,0.00135202741475879,2.02887502294006
"Heun",1,1000,0.36525,0.00033445123939898,2.01525660844099
"Heun",1,2000,0.182625,8.31603640705101e-05,2.007827912224
"RK4",1,250,1.461,6.58640739508016e-08,NA
"RK4",1,500,0.7305,3.85815866820385e-09,4.09350736994149
"RK4",1,1000,0.36525,2.3305659666498e-10,4.04916022193658
"RK4",1,2000,0.182625,1.43231378042752e-11,4.02426086191109
"Verlet",1,250,1.461,0.00132238263710563,NA
"Verlet",1,500,0.7305,0.000330655616450853,1.99973837504243
"Verlet",1,1000,0.36525,8.26676550249983e-05,1.99993453854084
"Verlet",1,2000,0.182625,2.06671482467091e-05,1.99998363101971
